Isotope	State	Intensity (pps)	Proton current	Ion source	Info
56Ba	Ba129m1	3.10E7	40	Re surface	
58Ce	Ce132g	7.90E6	40	Re surface	
58Ce	Ce132m1	1.60E6	40	Re surface	
68Er	Er156g	6.80E8	40	Re surface	
63Eu	Eu138g	3.50E5	40	Re surface	
57La	La128g	7.80E5	40	Re surface	
57La	La129g	2.70E6	40	Re surface	
57La	La130g	2.30E6	40	Re surface	
57La	La131g	6.40E6	40	Re surface	
57La	La132g	1.00E7	40	Re surface	
57La	La132m1	1.50E7	40	Re surface	
60Nd	Nd137m1	1.90E6	40	Re surface	
60Nd	Nd133g	5.50E5	40	Re surface	
60Nd	Nd136g	4.40E7	40	Re surface	
60Nd	Nd137g	6.50E7	40	Re surface	
61Pm	Pm136m1	2.80E6	40	Re surface	
61Pm	Pm138m1	1.50E7	40	Re surface	
61Pm	Pm136g	2.70E5	40	Re surface	
61Pm	Pm137g	1.60E6	40	Re surface	
59Pr	Pr130g	1.10E5	40	Re surface	
59Pr	Pr132g	9.20E5	40	Re surface	
59Pr	Pr133g	2.60E6	40	Re surface	
59Pr	Pr131m1	3.40E4	40	Re surface	
59Pr	Pr136g	2.30E7	40	Re surface	
62Sm	Sm136g	2.40E6	40	Re surface	
62Sm	Sm137g	5.70E5	40	Re surface	
69Tm	Tm156g	2.50E7	40	Re surface	
70Yb	Yb156g	8.40E6	40	Re surface	
66Dy	Dy157g	2.10E6	40	Re surface	
67Ho	Ho154m1	4.50E4	40	Re surface	154mHo16O
67Ho	Ho153g	1.90E5	40	Re surface	153gHo16O
67Ho	Ho154g	5.00E6	40	Re surface	154gHo16O
67Ho	Ho156g	5.80E5	40	Re surface	156gHo16O
67Ho	Ho158g	1.80E5	40	Re surface	158gHo16O
67Ho	Ho159g	2.20E5	40	Re surface	159gHo16O
71Lu	Lu168m1	3.60E7	40	Re surface	
71Lu	Lu171m1	4.30E7	40	Re surface	
71Lu	Lu178m1	2.50E6	40	Re surface	
71Lu	Lu168g	2.70E6	40	Re surface	
71Lu	Lu169g	9.80E8	40	Re surface	
71Lu	Lu170g	1.40E9	40	Re surface	
71Lu	Lu171g	3.30E9	40	Re surface	
71Lu	Lu172g	3.60E8	40	Re surface	
71Lu	Lu172g	3.10E9	40	Re surface	
71Lu	Lu178g	5.00E6	40	Re surface	
69Tm	Tm173g	2.60E6	40	Re surface	
69Tm	Tm174g	5.30E5	40	Re surface	
69Tm	Tm175g	3.40E5	40	Re surface	
69Tm	Tm176g	2.80E4	40	Re surface	
70Yb	Yb176m1	3.40E5	40	Re surface	
70Yb	Yb177m1	7.70E4	40	Re surface	
70Yb	Yb169g	2.70E9	40	Re surface	
70Yb	Yb177g	1.30E6	40	Re surface	
68Er	Er158g	2.20E9	40	Re surface	
63Eu	Eu142m1	1.80E8	40	Re surface	
63Eu	Eu142g	1.50E7	40	Re surface	
63Eu	Eu143g	2.50E9	40	Re surface	
63Eu	Eu144g	2.90E8	40	Re surface	
63Eu	Eu145g	3.10E9	40	Re surface	
63Eu	Eu146g	1.60E9	40	Re surface	
64Gd	Gd145m1	3.30E6	40	Re surface	
67Ho	Ho156g	9.10E8	40	Re surface	
67Ho	Ho158g	1.20E8	40	Re surface	
60Nd	Nd129g	2.30E4	40	Re surface	
62Sm	Sm143m1	5.70E7	40	Re surface	
62Sm	Sm143g	1.10E9	40	Re surface	
65Tb	Tb145m1	9.30E5	40	Re surface	
65Tb	Tb146m1	3.20E6	40	Re surface	
66Dy	Dy147m1	1.90E4	10	Re surface	
66Dy	Dy149g	9.40E5	10	Re surface	
66Dy	Dy151g	1.30E6	10	Re surface	
66Dy	Dy152g	2.10E6	10	Re surface	
70Yb	Yb160g	8.40E9	10	Re surface	
70Yb	Yb162g	1.20E9	10	Re surface	
